,15000-29999,70000-99999,100000-149999,150000-199999,200000
transportation,CXUPUBTRANSLB0219M,CXUPUBTRANSLB0220M,CXUPUBTRANSLB0221M,CXUPUBTRANSLB0222M,CXUPUBTRANSLB0223M
cellular,CXU270102LB0219M,CXU270102LB0220M,CXU270102LB0221M,CXU270102LB0222M,CXU270102LB0223M
